,International plan,Voice mail plan,Churn,Account length,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
0,0,1,0,0.6923693077521309,1.2439368522337986,1.5781240907274612,0.484401341120317,-0.054517797405771506,-0.052156465361759975,0.855254015618009,-0.47071443222839776,-0.07864978625960418,-0.5973556541215028,-0.42559820917812835
1,0,1,0,0.16221006470701219,1.3173414314933443,-0.3310369538004347,1.1341759988894977,-0.09177153727807216,0.14613000867876375,1.0462889674588696,0.1465469209909105,1.2510535273948795,-0.5973556541215028,-0.42559820917812835
2,0,0,0,0.9195804119143247,-0.591177629254842,1.1778458813916606,0.6843320050492957,-1.548588838600141,0.4931313382496803,-0.7616500613030868,0.19798536709251952,0.7119846164538726,0.22396871577789748,-1.1881406061069686
3,1,0,0,-0.41844053481859406,-0.591177629254842,2.210821905484048,-1.4649226321872248,-2.7112976672461526,-0.5974442689732002,-0.08613471613385888,-0.5735913244316158,-1.3005393177258868,1.0452930856772977,0.3369441877507119
4,1,0,0,-0.6456516389807878,-0.591177629254842,-0.23696235160630663,0.634349339067051,-1.0172328646320645,1.0879907603712515,-0.2830779654543334,1.0724389508198728,-0.04271185886353718,-0.5973556541215028,1.099486584679552
5,1,0,0,0.43991252534969344,-0.591177629254842,0.8089258727872364,-0.11539065066661894,0.4003699736665297,0.04698677165850189,0.05172555839047328,0.9181236125150458,-1.4083530999140883,0.6346309007275976,-1.1881406061069686
6,0,1,0,0.5156495600704247,1.1705322729742529,0.7130066705500858,-0.6152173104890656,2.908134884017709,0.3939881012294184,0.2230661852992859,0.9181236125150458,-0.9770979711612826,1.0452930856772977,1.099486584679552
7,1,0,0,1.1720371943167622,-0.591177629254842,-0.41588855577945216,-1.0650613043292676,-1.903479728962583,-0.30001455791241466,0.20731072535364825,-0.21352220172035263,-1.1208496807455512,0.6346309007275976,-1.1881406061069686
8,1,1,0,1.0205631248752998,2.124791803348346,1.4582250879310235,-0.8151479744180442,0.4278200977829618,0.5427029567598112,2.4642803625662855,-0.1620837556187436,0.3526053424932012,0.22396871577789748,-1.1881406061069686
9,0,0,0,-0.6708973172210315,-0.591177629254842,0.15040365742833883,1.3341066628184763,-0.721163668804834,2.3768528416346557,-0.1038596085727017,-0.3163990939235707,-0.40209113282420855,0.22396871577789748,-1.1881406061069686
10,0,0,0,1.702196437361881,-0.591177629254842,-0.9360657679116902,-0.21535598263110828,-1.8681867122414562,-1.4401617836454261,-1.185078047342107,1.432508073531136,0.3526053424932012,-1.0080178390712031,-0.42559820917812835
11,0,0,0,-0.1407380741759128,-0.591177629254842,-0.4232669559515408,-0.6152173104890656,0.9297652244834322,-1.2418753096049024,-0.17672861082127705,0.7638082742102187,0.7479225438499402,0.22396871577789748,1.099486584679552
12,0,0,0,-0.9738454561039566,-0.591177629254842,-1.0854783713964822,-1.5149052981694695,2.0983562225829653,-1.1923036910947715,0.03400066595163046,-0.05920686341552558,1.0354259630184768,0.6346309007275976,1.8620289816083926
13,0,1,0,-0.3931948565783503,1.39074601075289,0.31088386117126365,1.9338986546054122,1.5826860338242783,-0.4983010319529384,-2.2052440788221648,-1.293729569854142,1.2869914547909471,-0.18669346917180268,-0.42559820917812835
14,0,0,0,-0.1912294306564003,-0.591177629254842,0.20574165871900246,0.6843320050492957,0.3533126180383605,0.5427029567598112,-1.4115627840606526,1.0724389508198728,-0.7614704067848799,-0.5973556541215028,1.099486584679552
15,0,1,0,-0.620405960740544,1.8311734863101636,0.18729565828878125,-1.7148359620984481,0.24743356787498041,-1.7375914947062117,-0.7005976540137397,0.4037391514989556,-0.07864978625960418,0.22396871577789748,-0.42559820917812835
16,0,0,0,-0.6961429954612753,-0.591177629254842,0.8273718732174576,-0.5152519785245763,-0.7976318717006089,-0.5974442689732002,-0.16688144835525331,-1.345168015955751,0.9994880356224098,-1.0080178390712031,-0.42559820917812835
17,0,0,0,1.1720371943167622,-0.591177629254842,-0.4509359565968726,0.8342800029960297,0.7748680955407088,-0.3495861764225456,0.1482277505575059,1.6897003040391811,0.1369777781167985,-0.18669346917180268,-1.1881406061069686
