,International plan,Voice mail plan,Account length,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls
0,1,0,1.029829736375522,-0.5575856173823156,-0.7128905802757352,1.9596391853524608,0.5220111680627773,0.9837773079342386,-0.9388806321035803,-0.6149646259268003,0.08770888253787844,0.7418873801518097,-0.5418283691828771
1,0,0,0.465048248744115,-0.5575856173823156,1.3465585836264287,-0.4661199379151121,1.2989108493957944,-0.14420188552781998,-0.013193962253948708,0.9118441005121528,-0.5745424552762165,-0.6147066864114994,1.0836567383657543
2,0,1,-0.4493598740876868,1.9622877576065234,-0.9975738417775217,-0.1564485604766985,0.6579179008286057,-0.9645503898638627,0.3504686580441214,-0.2587092564243779,-0.1330415634001536,0.7418873801518097,0.2709141845914385
3,0,0,-1.8747607714431425,-0.5575856173823156,0.004222951861676026,-1.9112530326277086,1.5727527736254479,-0.041658322485814664,1.9435588867362328,0.25022698572193974,-1.7729020189398175,-0.6147066864114994,-0.5418283691828771
4,1,0,1.9711322157612003,-0.5575856173823156,1.2312438447902618,0.8241774680782777,-0.6200110789097779,-1.374724642031884,-0.13303732576126678,-0.6658582501414321,0.21385199450246808,-0.9538552030523267,-0.5418283691828771
5,0,1,-1.2292962141501058,1.7332083598802652,-0.04082186799620158,0.4628941944001286,0.6863163226005693,0.471059492724212,1.3567396585279845,0.9118441005121528,-0.7006855672408062,-0.9538552030523267,-1.354570922957193
6,1,0,0.2498933963131028,-0.5575856173823156,-1.0480240400183447,0.5145060906398642,-1.4435653102967367,-0.298017230090828,-0.5958806606860828,0.3011206099365715,-0.10150578540900576,1.4201844134334642,2.7091418459143854
7,0,0,-0.3955711609799337,-0.5575856173823156,-1.246221247393006,-0.05322476799722733,-1.6382973453044904,-0.298017230090828,-0.3623927283356174,-0.7676454985706956,0.6238171083873838,-0.9538552030523267,1.0836567383657543
8,1,1,-0.718303439626452,2.802245549269469,-1.3903646709382145,0.7725655718385421,0.6782024878085801,-0.7081914822588493,0.10664940125336994,0.046652488863412694,0.4030666624493523,-0.9538552030523267,-1.354570922957193
9,0,0,1.137407162591028,-0.5575856173823156,-0.7561336073392977,0.10161092072197944,-0.8918245444414343,1.1375926524972466,-3.1187900890039413,-1.378368989146277,-2.1197955768424386,1.4201844134334642,1.8963992921400696
